emdb_id,title,resolution,fitted_pdbs,xref_UNIPROTKB,xref_ALPHAFOLD,Q-score,atom_inclusion,recommended_contour_level
EMD-14861,Structure of the RQT-bound 80S ribosome from S. cerevisiae (C1),3.47,7zpq,"P0CX37,P04650,P26784,A0A6A5Q3W0,P39516,P38011,P0CX23,P0CX84,A0A6A5PVE9,P05756,P0CX45,P0CX82,P05749,A0A6A5PUZ5,P17076,P49166,P04456,A0A6A5Q8I3,A0A8H8UL01,Q02753,P0CX31,A0A6A5PUL8,P05745,P26786,P05738,P0C2H6,P05740,A0A6A5PWF7,P05744,P0C2H8,P0CX41,A0A6A5Q0W8,P0CX47,P0CX35,A0A6A5PYM2,A0A6A5PSE9,A0A6A5Q627,P14127,A0A6A5PV92,P05743,P05748,A0A6A5PU37,P87262,A0A6A5PY83,P02406,P14120,P0CX27,A0A6A5PRY4,A0A6A5Q6F2,A0A6A5Q3Q1,P0CX29,B3LI22,P0CX49,A0A1L4AA68,P53137,Q12690,O13516,A0A6A5PWR1,P0C0V8,Q08745,P05737,P0CX51,P35997,P07280,A0A6A5Q700,A0A6A5Q1H1,A0A6A5Q1M9,P0CX33,A0A8H8UMB4,P05739,A0A6A5PZ18,P36105,A0A8H4C0K6,P0CX55,P0CH08,A0A6A5Q0E8,P0CX25","Q12690,P0CX37,P0CX31,P04650,A0A6A5PUL8,P14127,P05745,A0A6A5PV92,P0CX49,P05743,P26784,A0A6A5Q3W0,P39516,P38011,P05748,P26786,P05738,P0CX23,P0C2H6,O13516,A0A6A5PWR1,P0C0V8,P0CX84,A0A6A5PVE9,A0A6A5PU37,P05740,P87262,A0A6A5PWF7,Q08745,P05756,P0CX45,P05737,P0CX82,P05744,A0A6A5PY83,P0C2H8,P0CX51,P35997,A0A6A5PUZ5,P05749,P0CX41,A0A6A5Q0W8,P0CX47,P17076,P02406,P07280,P0CX35,A0A6A5Q1H1,A0A6A5Q700,A0A6A5PYM2,P04456,A0A6A5PSE9,A0A6A5Q1M9,P0CX33,P49166,P05739,P14120,P0CX27,A0A6A5PRY4,A0A6A5Q6F2,A0A6A5PZ18,A0A6A5Q3Q1,P0CX29,P36105,B3LI22,A0A6A5Q627,A0A6A5Q8I3,P0CX55,P0CH08,Q02753,A0A1L4AA68,A0A6A5Q0E8,P0CX25,P53137",0.522,0.916,0.4
EMD-26542,Core Mediator-PICearly (Copy A),3.3,7ui9,"P20436,P34087,P04050,P34162,P38902,P25046,Q99278,P32570,P32569,P27999,P47822,P20434,P29055,P40422,P16370,P41896,P08518,P38304,P32585,P41895,P38633,P33308,P22139,P20435,P20433,P07273,Q06213,P19263","P20436,P34087,P04050,P34162,P38902,P25046,Q99278,P32570,P32569,P27999,P47822,P20434,P29055,P40422,P16370,P41896,P08518,P38304,P32585,P41895,P38633,P33308,P22139,P20435,P20433,P07273,Q06213,P19263",0.294,0.876,0.0125
EMD-15606,CryoEM structure of the human Nucleophosmin 1 core,3.53,8as5,P06748,P06748,0.412,0.664,0.0015
EMD-14201,Proteasome-ZFAND5 Complex Z+A state,3.7,7qxn,"O14818,O00232,P25787,Q15008,P28070,P51665,O43242,P17980,P28066,P55036,P25789,P25788,Q99436,P49721,O00231,P62195,P43686,Q13200,P48556,P25786,P60896,P49720,P35998,Q99460,P28074,P28072,Q9UNM6,P62191,O00487,P60900,A0A087X2I1,P20618","O14818,O00232,P25787,Q15008,P28070,P51665,O43242,P17980,P28066,P55036,P25789,P25788,Q99436,P49721,O00231,P62195,P43686,Q13200,P48556,P25786,P60896,P49720,P35998,Q99460,P28074,P28072,Q9UNM6,P62191,O00487,P60900,A0A087X2I1,P20618",0.319,0.647,0.0394
EMD-14202,Proteasome-ZFAND5 Complex Z+B state,3.6,7qxp,"O14818,O00232,P25787,Q15008,P28070,P51665,O43242,P17980,P28066,P55036,P25789,P25788,Q99436,P49721,O00231,P62195,P43686,Q13200,P48556,P25786,P60896,P49720,P35998,Q99460,P28074,P28072,Q9UNM6,P62191,O00487,P60900,A0A087X2I1,P20618","O14818,O00232,P25787,Q15008,P28070,P51665,O43242,P17980,P28066,P55036,P25789,P25788,Q99436,P49721,O00231,P62195,P43686,Q13200,P48556,P25786,P60896,P49720,P35998,Q99460,P28074,P28072,Q9UNM6,P62191,O00487,P60900,A0A087X2I1,P20618",0.336,0.72,0.0354
EMD-16090,Structure of a yeast 80S ribosome-bound N-Acetyltransferase B complex,3.8,8bjq,"Q12690,P04650,P14126,Q12387,P05745,Q06504,P05743,P26784,P05748,P05738,P0CX23,P26321,P0C2H6,P0CX84,P05740,P87262,P0CX86,P38061,P05747,P0CX45,P05737,P0CX82,P05744,P49167,P0C2H8,P05749,P0CX41,P17076,P02406,P49166,P04449,P04456,P05739,P14120,P0CX27,P41805,P36105,P0CH08,P10664,Q02753,P0CX49,Q3E757,P0CX25","Q12690,P04650,P14126,Q12387,P05745,Q06504,P05743,P26784,P05748,P05738,P0CX23,P26321,P0C2H6,P0CX84,P05740,P87262,P0CX86,P38061,P05747,P0CX45,P05737,P0CX82,P05744,P49167,P0C2H8,P05749,P0CX41,P17076,P02406,P49166,P04449,P04456,P05739,P14120,P0CX27,P41805,P36105,P0CH08,P10664,Q02753,P0CX49,Q3E757,P0CX25",0.337,0.866,0.2
EMD-16086,Structure of a yeast 80S ribosome-bound N-Acetyltransferase B complex,3.1,8bip,"Q12690,P04650,P14126,Q12387,P05745,Q06504,P05743,P26784,P05748,P05738,P0CX23,P26321,P0C2H6,P0CX84,P05740,P87262,P0CX86,P38061,P05747,P0CX45,P05737,P0CX82,P05744,P49167,P0C2H8,P05749,P0CX41,P17076,P02406,P49166,P04449,P04456,P05739,P14120,P0CX27,P41805,P36105,P0CH08,P10664,Q02753,P0CX49,Q3E757,P0CX25","Q12690,P04650,P14126,Q12387,P05745,Q06504,P05743,P26784,P05748,P05738,P0CX23,P26321,P0C2H6,P0CX84,P05740,P87262,P0CX86,P38061,P05747,P0CX45,P05737,P0CX82,P05744,P49167,P0C2H8,P05749,P0CX41,P17076,P02406,P49166,P04449,P04456,P05739,P14120,P0CX27,P41805,P36105,P0CH08,P10664,Q02753,P0CX49,Q3E757,P0CX25",0.451,0.909,0.215
EMD-15905,Cryo-EM structure of the E.coli 70S ribosome in complex with the antibiotic Myxovalargin B.,3,8b7y,"P02358,P0A7W1,P02359,P0AG55,P0AG51,P02413,P0A7L8,P0A7P5,P0AG59,P0A7S3,P0AG44,P0A7T3,P0A7T7,P0A7N9,P0A7X3,P0A7V0,P0AG63,P0A7K6,P0ADZ4,P0A7R5,P0C018,P0AA10,P0A7W7,P0A7N4,P60422,P0A7Q6,P0A7V8,P0ADY7,P0A7V3,P0A7U3,P0AG48,P60438,P0A7L3,P0A7M2,P0A7M6,P60723,P0A7U7,P0A7Q1,P0A7S9,P0A7R9,P68679,P0ADZ0,P0ADY3,P61175,P60624,P68919","P02358,P0A7W1,P02359,P0AG55,P0AG51,P02413,P0A7L8,P0A7P5,P0AG59,P0A7S3,P0AG44,P0A7T3,P0A7T7,P0A7N9,P0A7X3,P0A7V0,P0AG63,P0A7K6,P0ADZ4,P0A7R5,P0C018,P0AA10,P0A7W7,P0A7N4,P60422,P0A7Q6,P0A7V8,P0ADY7,P0A7V3,P0A7U3,P0AG48,P60438,P0A7L3,P0A7M2,P0A7M6,P60723,P0A7U7,P0A7Q1,P0A7S9,P0A7R9,P68679,P0ADZ0,P0ADY3,P61175,P60624,P68919",0.556,0.691,0.03
EMD-13594,Cryo-EM structure of Saccharomyces cerevisiae TOROID (TORC1 Organized in Inhibited Domains).,3.87,7pqh,"P38873,P41318,P32600","P38873,P41318,P32600",0.241,0.592,0.12
EMD-26213,the apo structure of human mTORC2 complex,3.28,7tzo,"P42345,Q9BPZ7,Q9BVC4,Q6R327","P42345,Q9BPZ7,Q9BVC4,Q6R327",0.353,0.774,2.64
EMD-32396,Cryo-EM structure of substrate engaged Drg1 hexamer,3.6,7wbb,A0A6A5PRU8,A0A6A5PRU8,0.349,0.587,0.018
EMD-15975,Cas12k-sgRNA-dsDNA-S15-TniQ-TnsC transposon recruitment complex,3.3,8bd5,"A0A8J0PCL3,A0A8J0PCL5,P0ADZ4,A0A8X6EH11",P0ADZ4,0.39,0.717,0.005
EMD-27250,Yeast mitochondrial small subunit assembly intermediate (State 2),3.13,8d8k,"P38120,P12686,Q03976,Q02608,P02381,P17558,P27929,Q03246,P53733,P40033,P21771,P40496,P33759,P38175,P47150,P53305,P32902,P53292,P10662,Q03201,P38783,P10663,O75012,P28778,P53937,P42847,Q01163,P47141,Q03799,Q02950","P38120,P12686,Q03976,Q02608,P02381,P17558,P27929,Q03246,P53733,P40033,P21771,P40496,P33759,P38175,P47150,P53305,P32902,P53292,P10662,Q03201,P38783,P10663,O75012,P28778,P53937,P42847,Q01163,P47141,Q03799,Q02950",0.508,0.61,4.5
EMD-27249,Yeast mitochondrial small subunit assembly intermediate (State 1),3.8,8d8j,"P40033,A0A6A5Q5F6,P36056,Q03799,P12686,P21771,P53292,A0A8H4FBQ6,P38783,P33759,Q02608,P27929,P17558,P28778,Q03246","P40033,A0A6A5Q5F6,P36056,Q03799,P12686,P21771,P53292,P38783,P33759,Q02608,P27929,P17558,P28778,Q03246",0.425,0.659,4.3
EMD-26971,Human mitochondrial small subunit assembly intermediate (State C*),3.03,8csu,"Q9Y676,Q9Y2R5,P82675,O60783,Q9Y399,Q9NWT8,Q9Y2R9,P82663,Q96EY7,P82664,P82912,P82930,Q9Y3D5,Q8N0V3,Q9Y3D9,Q92552,Q9Y3D3,Q96EL2,Q8WVM0,P51398,P82914,P82932,P82933,P82650,P82673,Q9BYN8,Q9Y291,Q9H7H0,O15235,Q92665,P82921","Q9Y676,Q9Y2R5,P82675,O60783,Q9Y399,Q9NWT8,Q9Y2R9,P82663,Q96EY7,P82664,P82912,P82930,Q9Y3D5,Q8N0V3,Q9Y3D9,Q92552,Q9Y3D3,Q96EL2,Q8WVM0,P51398,P82914,P82932,P82933,P82650,P82673,Q9BYN8,Q9Y291,Q9H7H0,O15235,Q92665,P82921",0.519,0.488,9
EMD-27278,"Saccharomyces cerevisiae Ufd1/Npl4/Cdc48 complex bound to three ubiquitin moieties and one unfolded ubiquitin in presence of SUMO-ubiquitin(K48polyUb)-mEOS and ATP, state 2 (uD)",3.6,8daw,"P0CG63,P53044,P33755,P25694","P0CG63,P53044,P33755,P25694",0.378,0.637,9
EMD-27276,"Saccharomyces cerevisiae Ufd1/Npl4/Cdc48 complex bound to two folded ubiquitin moieties and one unfolded ubiquitin in presence of SUMO-ubiquitin(K48polyUb)-mEOS and ATP, state 1 (uA)",3.7,8dau,"P0CG63,P53044,P33755,P25694","P0CG63,P53044,P33755,P25694",0.358,0.619,9.5
EMD-26861,A composite cryo-EM map of the mTORC1-TFEB-Rag-Ragulator complex,3.2,7uxh,"P42345,Q0VGL1,Q7L523,P19484,Q8N122,Q9HB90,Q9Y2Q5,O43504,Q6IAA8,Q9BVC4,Q9UHA4","P42345,Q0VGL1,Q7L523,P19484,Q8N122,Q9HB90,Q9Y2Q5,O43504,Q6IAA8,Q9BVC4,Q9UHA4",0.378,0.688,6
EMD-27274,"Saccharomyces cerevisiae Ufd1/Npl4/Cdc48 complex bound to two ubiquitin moieties in presence of SUMO-ubiquitin(K48polyUb)-mEOS and ATP, state 1 (intA)",3.5,8das,"P53044,P33755,P25694,P0CH08","P53044,P33755,P25694,P0CH08",0.411,0.678,9
EMD-27277,"Saccharomyces cerevisiae Ufd1/Npl4/Cdc48 complex bound to two ubiquitin moieties and one unfolded ubiquitin in presence of SUMO-ubiquitin(K48polyUb)-mEOS and ATP, state 2 (uC)",3.5,8dav,"P0CG63,P53044,P33755,P25694","P0CG63,P53044,P33755,P25694",0.374,0.64,9
EMD-27275,"Saccharomyces cerevisiae Ufd1/Npl4/Cdc48 complex bound to three ubiquitin moieties in presence of SUMO-ubiquitin(K48polyUb)-mEOS and ATP, state 1 (intB)",3.8,8dat,"P0CG63,P53044,P33755,P25694","P0CG63,P53044,P33755,P25694",0.401,0.684,9
EMD-27273,Saccharomyces cerevisiae Ufd1/Npl4/Cdc48 complex unbound but in the presence of SUMO-ubiquitin(K48polyUb)-mEOS and ATP,3,8dar,"P53044,P33755,P25694","P53044,P33755,P25694",0.517,0.835,7
EMD-26857,cryo-EM structure of the mTORC1-TFEB-Rag-Ragulator complex with symmetry expansion,3.2,7uxc,"P42345,Q0VGL1,Q7L523,P19484,Q8N122,Q9HB90,Q9Y2Q5,O43504,Q6IAA8,Q9BVC4,Q9UHA4","P42345,Q0VGL1,Q7L523,P19484,Q8N122,Q9HB90,Q9Y2Q5,O43504,Q6IAA8,Q9BVC4,Q9UHA4",0.375,0.584,0.4
EMD-24423,Ytm1 associated nascent 60S in fkbp39 deletion cells class 3,3.1,8eui,,,0.536,0.922,0.05
EMD-24398,Fkbp39 associated nascent 60S class 4,3.1,8etc,,,0.3,0.592,0.05
EMD-24420,Ytm1 associated nascent 60S in fkbp39 deletion cells class 1A,3,8euy,,,0.481,0.822,0.05
EMD-24395,Fkbp39 interacting nascent 60S subunit 1,3.7,8eti,,,0.193,0.491,0.05
EMD-24409,Ytm1 associated nascent 60S class 1B,3.8,8eth,,,0.48,0.872,0.05
EMD-24397,Fkbp39 associated nascent 60S class 3,3.4,8etg,,,0.258,0.505,0.05
EMD-24396,Fkbp39 associated nascent 60S class 2,3.2,8etj,,,0.436,0.777,0.05
EMD-24422,Ytm1 associated nascent 60S in fkbp39 deletion cells class 2,3.2,8esr,,,0.44,0.8,0.05
EMD-24421,Ytm1 associated nascent 60S in fkbp39 deletion cells class 1B,3,8ev3,,,0.462,0.82,0.05
EMD-24410,Ytm1 associated nascent 60S class 1A,3.1,8eup,,,0.395,0.77,0.05
EMD-14704,Structure of human Apoferritin obtained from ssDNA coated grid,3.8,7zfw,,,0.38,0.894,0.03
EMD-15558,Structure of Escherischia coli heat shock protein Hsp15 in complex with ribosomal 50S subunits bearing peptidyl-tRNA,3,8ap4,"P0ACG8,P0A7M9,P0AG55,P0AG51,P02413,P0A7L8,P0A7P5,P0AG44,P0A7N9,P0A7K6,P0C018,P0AA10,P0A7N4,P0A7Q6,P60422,P0ADY7,P0AG48,P60438,P0A7L3,P0A7M2,P0A7M6,P0A7R1,P60723,P0A7Q1,P0ADZ0,P0ADY3,P62399,P61175,P60624,P68919","P0ACG8,P0A7M9,P0AG55,P0AG51,P02413,P0A7L8,P0A7P5,P0AG44,P0A7N9,P0A7K6,P0C018,P0AA10,P0A7N4,P0A7Q6,P60422,P0ADY7,P0AG48,P60438,P0A7L3,P0A7M2,P0A7M6,P0A7R1,P60723,P0A7Q1,P0ADZ0,P0ADY3,P62399,P61175,P60624,P68919",0.493,0.978,0.045
EMD-13805,Erythromycin-stalled Escherichia coli 70S ribosome with streptococcal MsrDL nascent chain,3,7q4k,"P02358,C3SR57,P02359,P0AG55,P0AG51,P02413,P0A7L8,P0A7P5,C3SQX2,P0AG44,C3SR52,C3SQR7,P0A7N9,P0A7K6,C3SFP7,P0C018,P0AA10,C3SR27,P0A7N4,P60422,P0A7Q6,C3SR62,C3SSQ7,C3TRH7,C3SYP2,C3SQW2,P0ADY7,C3STZ7,P0AG48,P60438,P0A7L3,P0A7M2,P0A7M6,C3SQY7,P60723,P0A7R1,P0A7Q1,C3TPN2,C3SRY2,P0ADZ0,U9XX47,C3SR12,P0ADY3,P62399,P61175,C3SQT7,C3SR07,P60624,P68919","P02358,C3SR57,P02359,P0AG55,P0AG51,P02413,P0A7L8,P0A7P5,C3SQX2,P0AG44,C3SR52,C3SQR7,P0A7N9,P0A7K6,C3SFP7,P0C018,P0AA10,C3SR27,P0A7N4,P60422,P0A7Q6,C3SR62,C3SSQ7,C3TRH7,C3SYP2,C3SQW2,P0ADY7,C3STZ7,P0AG48,P60438,P0A7L3,P0A7M2,P0A7M6,C3SQY7,P60723,P0A7R1,P0A7Q1,C3TPN2,C3SRY2,P0ADZ0,U9XX47,C3SR12,P0ADY3,P62399,P61175,C3SQT7,C3SR07,P60624,P68919",0.514,0.849,2.85
EMD-14927,Yeast RNA polymerase II transcription pre-initiation complex with the +1 nucleosome (complex A),3.1,7zs9,"P36145,P20436,Q03290,Q02939,P34087,P04050,P38902,Q00578,P13393,P36100,P27999,P20434,P40422,P29055,P32774,Q12004,Q3E7C1,P62799,P16370,P08518,P41896,P32773,P41895,P84233,P22139,Q04673,Q6AZJ8,P02281,P20435,P20433,P06839,P32776","P36145,P20436,Q03290,Q02939,P34087,P04050,P38902,Q00578,P13393,P36100,P27999,P20434,P40422,P29055,P32774,Q12004,Q3E7C1,P62799,P16370,P08518,P41896,P32773,P41895,P84233,P22139,Q04673,Q6AZJ8,P02281,P20435,P20433,P06839,P32776",0.34,0.617,0.012
EMD-15576,Structure of the mitochondrial ribosome from Polytomella magna with tRNA bound to the P site,3.1,8apn,,,0.399,0.636,0.01
EMD-24271,State E2 nucleolar 60S ribosomal biogenesis intermediate - Spb1-MTD locally refined map,3.13,7naf,"P05749,P0CX41,P40010,Q04031,P14126,P40991,P38202,Q07915,Q12522,P39744,P25582,P14120,P0C2H8","P05749,P0CX41,P40010,Q04031,P14126,P40991,P38202,Q07915,Q12522,P39744,P25582,P14120,P0C2H8",0.513,0.705,0.018
EMD-24280,State E2 nucleolar 60S ribosomal intermediate - Local Map for Noc2/Noc3 region,3.17,7r6k,"A6ZR80,P17076,Q08962,Q04660,Q07896,P36049,P87262,P05745,P40991,Q08235,P39744,A0A6A5Q2X9,P25582,P05748,P43586","A6ZR80,P17076,Q08962,Q04660,Q07896,P36049,P87262,P05745,P40991,Q08235,P39744,A0A6A5Q2X9,P25582,P05748,P43586",0.495,0.786,0.0125
EMD-24296,State E1 nucleolar 60S ribosome biogenesis intermediate - Composite model,3.04,7r7a,"Q12690,P14126,P40007,P36049,Q02326,P05745,P05743,P26784,P05748,P53927,P05738,P0CX23,P53261,A6ZR80,P0C2H6,Q08962,P40010,Q03532,P0CX84,Q04660,P05740,P38779,P87262,P38061,Q07915,P05737,P0CX82,P05744,P49167,P25582,P43586,P0C2H8,P38202,P0CX41,P05749,P17076,A0A8H4BV53,P49166,P04456,Q12522,P39744,P14120,A7A237,A0A6A5Q2N7,P40693,P36105,Q07896,P40991,Q02892,P10664,Q08235,Q02753,P0CX49,P33201","Q12690,P14126,P40007,P36049,Q02326,P05745,P05743,P26784,P05748,P53927,P05738,P0CX23,P53261,A6ZR80,P0C2H6,Q08962,P40010,Q03532,P0CX84,Q04660,P05740,P38779,P87262,P38061,Q07915,P05737,P0CX82,P05744,P49167,P25582,P43586,P0C2H8,P38202,P0CX41,P05749,P17076,P49166,P04456,Q12522,P39744,P14120,A7A237,A0A6A5Q2N7,P40693,P36105,Q07896,P40991,Q02892,P10664,Q08235,Q02753,P0CX49,P33201",0.527,0.784,0.017
EMD-24269,State E2 nucleolar 60S ribosomal biogenesis intermediate - Overall map,3.04,7nac,"A0A8H4BX61,Q12690,P14126,P40007,P36049,Q02326,P05745,P05743,P26784,P05748,P53927,P05738,P0CX23,P53261,A6ZR80,P0C2H6,Q08962,P40010,Q03532,P0CX84,Q04660,P05740,P38779,P87262,P38061,Q07915,P05737,P0CX82,P05744,P49167,P25582,P43586,P0C2H8,P38202,P0CX41,P05749,P17076,A0A8H4BV53,P49166,P04456,Q12522,P14120,A0A6A5Q2X9,A7A237,A0A6A5Q2N7,P40693,P36105,Q07896,P40991,Q02892,P10664,Q08235,Q02753,P0CX49,P33201","Q12690,P14126,P40007,P36049,Q02326,P05745,P05743,P26784,P05748,P53927,P05738,P0CX23,P53261,A6ZR80,P0C2H6,Q08962,P40010,Q03532,P0CX84,Q04660,P05740,P38779,P87262,P38061,Q07915,P05737,P0CX82,P05744,P49167,P25582,P43586,P0C2H8,P38202,P0CX41,P05749,P17076,P49166,P04456,Q12522,P14120,A0A6A5Q2X9,A7A237,A0A6A5Q2N7,P40693,P36105,Q07896,P40991,Q02892,P10664,Q08235,Q02753,P0CX49,P33201",0.549,0.697,0.0275
EMD-24297,State E2 nucleolar 60S ribosomal biogenesis intermediate - L1 stalk local map,3.71,7r7c,"A0A6A5PXG0,P0CX43,Q08962,A0A7I9FH46,P40991,Q02892,Q08235,P25582,P43586,A0A6V8S2P3","A0A6A5PXG0,P0CX43,Q08962,A0A7I9FH46,P40991,Q02892,Q08235,P25582,P43586,A0A6V8S2P3",0.401,0.642,0.015
EMD-24290,State E1 nucleolar 60S ribosome biogenesis intermediate - Spb4 locally refined map,3.07,7r72,"P14126,P53261,P0C2H6,Q04660,P05740,P87262,Q07915,P0CX82,P49167,P25582,P0C2H8,P05749,P17076,P49166,P04456,P39744,P14120,A7A237,P40693,Q07896,Q02892,A6ZPA9","P14126,P53261,P0C2H6,Q04660,P05740,P87262,Q07915,P0CX82,P49167,P25582,P0C2H8,P05749,P17076,P49166,P04456,P39744,P14120,A7A237,P40693,Q07896,Q02892,A6ZPA9",0.519,0.84,0.012
EMD-24270,State E2 nucleolar 60S ribosomal biogenesis intermediate - Spb4 local refinement model,3.04,7nad,"A0A8H4BX61,P14126,A0A6A5PUL8,A0A8H4BSI2,A0A6A5PUP3,P53261,P0C2H6,Q04660,P05740,P87262,A0A8H4BYD1,P0CX82,P0C2H8,P05749,P0CX41,A0A8H4C0K3,A0A8H4BV53,P49166,P04456,P14120,A0A6A5Q2X9,Q02892,A0A8H4BY26,A0A8H8UL81","P05749,P0CX41,P53261,P0C2H6,P14126,Q04660,A0A6A5PUL8,P05740,P87262,P04456,Q02892,P49166,P0CX82,P14120,A0A6A5Q2X9,A0A6A5PUP3,P0C2H8",0.547,0.635,0.023
EMD-24278,Human PA200-20S proteasome complex,3.2,7naq,"P28066,P25789,P25786,O14818,P28074,P25787,P25788,Q99436,P28070,P20618,P49721,P28072,Q14997,P60900,P49720","P28066,P25789,P25786,O14818,P28074,P25787,P25788,Q99436,P28070,P20618,P49721,P28072,Q14997,P60900,P49720",0.483,0.785,4
EMD-27015,Human PA200-20S proteasome with MG-132,3.1,8cvs,"P28066,P25789,P25786,O14818,P28074,P25787,P25788,Q99436,P28070,P20618,P49721,P28072,Q14997,P60900,P49720","P28066,P25789,P25786,O14818,P28074,P25787,P25788,Q99436,P28070,P20618,P49721,P28072,Q14997,P60900,P49720",0.559,0.922,0.15
EMD-15204,Cryo-EM structure of Listeria monocytogenes 50S ribosomal subunit.,3.1,8a63,"P0A485,Q927L4,P66125,O53083,Q8Y6Y9,Q8Y445,P66219,P66166,Q927M5,Q927L2,P66103,Q8Y458,Q927L7,Q8Y444,Q8Y450,P66290,Q8Y447,Q8Y440,P61055,Q927L9,P60426,P66248,P0A491,Q8Y443,P66144,Q8Y441,P66207","P0A485,Q927L4,P66125,O53083,Q8Y6Y9,Q8Y445,P66219,P66166,Q927M5,Q927L2,P66103,Q8Y458,Q927L7,Q8Y444,Q8Y450,P66290,Q8Y447,Q8Y440,P61055,Q927L9,P60426,P66248,P0A491,Q8Y443,P66144,Q8Y441,P66207",0.503,0.795,0.03
EMD-27018,"Human 19S-20S proteasome, state SD2",3,8cvt,"O14818,O00232,P25787,Q15008,P20618,P51665,P17980,P28066,P25789,P62333,P25788,Q99436,P49721,O00231,P43686,Q13200,P48556,P60896,P35998,P28074,P28072,Q9UNM6,O00487,P60900,P28070","O14818,O00232,P25787,Q15008,P20618,P51665,P17980,P28066,P25789,P62333,P25788,Q99436,P49721,O00231,P43686,Q13200,P48556,P60896,P35998,P28074,P28072,Q9UNM6,O00487,P60900,P28070",0.376,0.785,0.1
EMD-24277,Human PA28-20S-PA28 proteasome complex,3.2,7nap,"P28066,P25789,P25786,O14818,P28074,Q06323,P25787,P25788,Q99436,P28070,P20618,P49721,P28072,Q9UL46,P60900,P49720","P28066,P25789,P25786,O14818,P28074,Q06323,P25787,P25788,Q99436,P28070,P20618,P49721,P28072,Q9UL46,P60900,P49720",0.445,0.896,4
EMD-32794,Cryo-EM structure of a yeast pre-40S ribosomal subunit - State Tsr1-2 (with Rps2),3.8,7wtp,"P0C0W1,P35997,P06367,B3RHV0,P0CX37,O13516,P0CX47,P0CX29,P0CX31,P0CX35,P0CX39,Q99216,P0CX33,P05756,P25443,P25627,Q07381,P26786","P0C0W1,P35997,P06367,B3RHV0,P0CX37,O13516,P0CX47,P0CX29,P0CX31,P0CX35,P0CX39,Q99216,P0CX33,P05756,P25443,P25627,Q07381,P26786",0.399,0.965,0.01
EMD-32792,Cryo-EM structure of a yeast pre-40S ribosomal subunit - State Tsr1-1 (with Rps2),3.4,7wtn,"P0C0W1,P35997,P06367,P0CX47,P0CX37,O13516,P0CX29,P0CX31,P0CX35,P0CX39,P33442,Q99216,P0CX33,P05756,P25443,P25627,P26786","P0C0W1,P35997,P06367,P0CX47,P0CX37,O13516,P0CX29,P0CX31,P0CX35,P0CX39,P33442,Q99216,P0CX33,P05756,P25443,P25627,P26786",0.47,0.984,0.01
EMD-25994,Structure of the rabbit 80S ribosome stalled on a 2-TMD Rhodopsin intermediate in complex with the multipass translocon,3.25,7tm3,"G1TTN1,G1TDL2,P0DXC2,G1T6D1,G1U7L1,G1TL06,G1STW0,G1U001,U3KPD5,G1SWI6,A0A8C0TSD6,G1TFE0,G1U945,G1TUB1,G1SHG0,G1SGR6,A0A8C0RJF2,G1TVT6,G1SE76,G1SF08,P60467,G1U437,G1SY53,G1SKF7,P38377,G1SZ12,A0A087WNH4,P60058,G1SE28,G1SNY0,G1TT27,A0A8C0S144,G1T0C1,G1SHQ2,G1SVW5,B7NZQ2,G1SIT5,G1TSG1,G1TTQ5,G1U344,A0A8C0RUW0,G1SQH0,P49912,G1SYJ6,G1TTY7,G1TPV0,G1TXF6,G1TUB8,G1TJR3,G1TVS8","G1TTN1,G1TDL2,G1U7L1,G1T6D1,G1TL06,G1STW0,G1U001,U3KPD5,G1SWI6,G1TFE0,G1U945,G1TUB1,G1SHG0,G1SGR6,G1TVT6,G1SE76,G1SF08,P60467,G1U437,G1SY53,G1SKF7,P38377,G1SZ12,A0A087WNH4,P60058,G1SE28,G1SNY0,G1TT27,G1T0C1,G1SHQ2,G1SVW5,B7NZQ2,G1SIT5,G1TSG1,G1TTQ5,G1U344,G1SQH0,P49912,G1SYJ6,G1TTY7,G1TPV0,G1TXF6,G1TUB8,G1TJR3,G1TVS8",0.434,0.955,0.007
EMD-32802,Cryo-EM structure of a human pre-40S ribosomal subunit - State RRP12-A2,3.5,7wtv,"Q9NRX1,P62241,P62851,P62753,P62847,P39019,P61247,P62263,O43709,Q5JTH9,P62244,P63220,Q2NL82,P08708,P62266,P08865,P62701,Q9UI30,P62081,P62280,Q13895,P62861,P25398,P46782,P62841,P15880,P62857,P42677,P62277,P62249,P62269,P62979,Q9NSI2,P46781","Q9NRX1,P62241,P62851,P62753,P62847,P39019,P61247,P62263,O43709,Q5JTH9,P62244,P63220,Q2NL82,P08708,P62266,P08865,P62701,Q9UI30,P62081,P62280,Q13895,P62861,P25398,P46782,P62841,P15880,P62857,P42677,P62277,P62249,P62269,P62979,Q9NSI2,P46781",0.378,0.808,0.02
EMD-32799,Cryo-EM structure of a human pre-40S ribosomal subunit - State UTP14,3.2,7wts,"Q9NRX1,P62241,P62753,P62847,P61247,P62263,Q5JTH9,O43709,P62244,Q2NL82,P62266,P62701,Q9UI30,P62081,P62280,Q9BVJ6,P62861,P42677,P62277,Q9UNQ2,Q9NSI2,P46781","Q9NRX1,P62241,P62753,P62847,P61247,P62263,Q5JTH9,O43709,P62244,Q2NL82,P62266,P62701,Q9UI30,P62081,P62280,Q9BVJ6,P62861,P42677,P62277,Q9UNQ2,Q9NSI2,P46781",0.429,0.952,0.02
